"Name","POS","AGE","YRS","DOLLARS","YEAR","G","R","HR","RBI","BB","SB","HITS","AS"
"Welington Castillo","C","29","1","6000000","2016","332","111","46","171","84","2","281","0"
"Rajai Davis","OF","36","1","6000000","2016","375","193","28","129","77","97","331","0"
"Austin Jackson","OF","31","2","6000000","2017","269","126","16","101","79","22","266","0"
"Nick Markakis","OF","35","1","6000000","2018","480","221","35","258","211","1","509","1"
"Willie Bloomquist","SS","35","2","5800000","2013","225","107","4","63","43","27","235","0"
"Pedro Alvarez","1B","29","1","5750000","2015","423","176","81","233","141","12","328","1"
"Alejandro De Aza","OF","31","1","5750000","2015","402","191","32","138","120","44","365","0"
"Robinson Chirinos","C","34","1","5750000","2018","249","115","44","123","94","3","180","0"
"Norichika Aoki","OF","34","1","5500000","2015","379","185","14","106","128","51","413","0"
"Mitch Moreland","1B","31","1","5500000","2016","324","118","47","168","79","2","279","0"
"Robinson Chirinos","C","35","1","5500000","2019","311","151","52","161","130","4","234","0"
"Johnny Damon","OF","36","1","5250000","2010","429","283","49","204","204","52","469","0"
"Mark Ellis","2B","35","1","5250000","2013","363","163","20","120","88","23","343","0"
"Rajai Davis","OF","35","1","5250000","2015","347","168","22","105","65","99","304","0"
"Trevor Plouffe","3B","30","1","5250000","2016","371","178","48","213","122","5","357","0"
"Billy Hamilton","OF","28","1","5250000","2018","408","228","11","84","126","151","370","0"
"Jordy Mercer","SS","32","1","5250000","2018","408","161","31","156","134","3","360","0"
"Lyle Overbay","1B","33","1","5000000","2010","437","206","51","200","215","2","389","0"
"Grady Sizemore","OF","28","1","5000000","2011","210","122","28","109","87","17","195","0"
"Mike Napoli","1B","30","1","5000000","2012","359","185","80","199","156","9","306","1"
"Ty Wigginton","3B","34","2","5000000","2012","401","155","48","166","125","9","315","1"
"Brendan Ryan","SS","30","2","5000000","2013","364","123","10","92","101","28","250","0"
"Skip Schumaker","OF","33","2","5000000","2013","334","102","5","96","82","3","263","0"
"Stephen Drew","SS","30","1","5000000","2014","285","113","27","121","118","8","220","0"
"David Ross","C","36","2","5000000","2014","140","45","20","48","45","2","95","0"
"Austin Jackson","OF","29","1","5000000","2015","413","226","25","144","128","45","434","0"
"Brayan Pena","C","34","2","5000000","2015","291","59","9","66","55","4","247","0"
"Colby Rasmus","OF","30","1","5000000","2016","340","150","58","155","119","10","257","0"
"Curtis Granderson","OF","36","1","5000000","2017","453","260","82","193","236","21","374","0"
"Daniel Descalso","3B","32","2","5000000","2018","366","139","31","146","146","7","229","0"
"Freddy Galvis","SS","29","1","5000000","2018","482","194","45","195","115","39","445","0"
"Todd Frazier","3B","34","1","5000000","2019","393","191","66","202","171","14","300","0"
"Justin Smoak","1B","33","1","5000000","2019","424","206","85","228","235","0","359","1"
"Steve Pearce","1B","32","1","4750000","2015","236","107","40","102","78","7","194","0"
"Norichika Aoki","OF","32","1","4700000","2014","435","224","19","130","141","67","461","0"
"Juan Rivera","OF","32","1","4500000","2011","393","171","51","214","112","7","377","0"
"David Freese","1B","35","1","4500000","2018","380","145","34","158","127","0","313","0"
"Eric Sogard","3B","33","1","4500000","2019","254","103","16","60","95","14","196","0"
"Matt Diaz","OF","31","2","4250000","2010","244","92","22","103","51","19","205","0"
"Hideki Matsui","OF","35","1","4250000","2010","379","160","58","219","169","0","356","0"
"Alex Gonzalez","SS","34","1","4250000","2011","415","175","46","185","73","5","378","0"
"Chris Iannetta","C","32","1","4250000","2015","311","109","28","116","163","3","201","0"
"Wilmer Flores","1B","27","1","4250000","2018","333","123","45","152","69","2","276","0"
"Alex Avila","C","33","1","4250000","2019","250","76","30","93","135","1","148","0"
"Ramon Santiago","SS","31","2","4200000","2011","288","96","15","87","64","3","221","0"
"Austin Romine","C","31","1","4150000","2019","223","78","20","98","43","2","173","0"
"Wily Mo Pena","OF","29","2","4050000","2011","39","15","7","15","5","0","23","0"
"Russell Martin","C","27","1","4000000","2010","395","195","25","148","207","35","363","1"
"Rod Barajas","C","35","1","4000000","2011","312","111","52","165","55","1","242","0"
"Jack Hannahan","3B","31","2","4000000","2012","196","61","12","69","65","2","150","0"
"Kevin Youkilis","3B","33","1","4000000","2013","270","152","38","148","127","3","237","1"
"Emilio Bonifacio","2B","28","1","4000000","2014","306","131","7","66","81","84","267","0"
"Jonny Gomes","OF","33","1","4000000","2014","320","123","37","136","122","4","214","0"
"Dioner Navarro","C","32","1","4000000","2015","280","88","30","123","72","3","246","0"
"Alexei Ramirez","SS","34","1","4000000","2015","469","204","31","184","81","68","496","1"
"Juan Uribe","3B","36","1","4000000","2015","350","123","35","147","79","7","319","0"
"Jeff Mathis","C","33","2","4000000","2016","131","33","6","39","26","0","80","0"
"Ben Revere","OF","28","1","4000000","2016","402","199","6","97","63","94","441","0"
"Matt Adams","1B","29","1","4000000","2017","305","97","41","143","58","1","209","0"
"Carlos Gomez","OF","32","1","4000000","2017","338","157","42","160","96","48","300","0"
"Eduardo Nunez","2B","30","1","4000000","2017","326","156","32","145","59","72","358","1"
"Neil Walker","1B","32","1","4000000","2017","375","185","53","175","141","7","364","0"
"Jon Jay","OF","33","1","4000000","2018","374","188","7","100","89","12","354","0"
"Tyler Flowers","C","34","1","4000000","2019","266","111","31","113","97","0","208","0"
"Alex Gordon","OF","36","1","4000000","2019","437","185","35","175","146","24","371","0"
"Kevin Pillar","OF","31","1","4000000","2019","454","220","52","189","69","43","437","0"
"Travis Shaw","3B","29","1","4000000","2019","382","179","70","203","174","15","303","0"
"Eric Thames","1B","33","1","4000000","2019","380","190","72","161","155","14","268","0"
"Willie Bloomquist","SS","33","2","3800000","2011","299","127","11","72","59","53","258","0"
"Drew Butera","C","33","2","3800000","2016","147","43","8","35","31","0","88","0"
"Cliff Pennington","SS","31","2","3750000","2015","263","70","6","49","73","11","154","0"
"Daniel Descalso","3B","27","2","3600000","2014","350","104","9","79","79","13","202","0"
"Eric Chavez","3B","35","1","3500000","2013","242","80","27","107","63","1","184","0"
"Rafael Furcal","2B","35","1","3500000","2013","207","113","13","77","72","21","203","1"
"Stephen Drew","SS","33","1","3500000","2016","277","85","32","91","80","1","159","0"
"Lucas Duda","1B","32","1","3500000","2017","308","137","64","160","141","0","242","0"
"Asdrubal Cabrera","3B","33","1","3500000","2018","422","199","60","196","129","8","423","0"
"Avisail Garcia","OF","27","1","3500000","2018","349","181","49","180","87","12","356","1"
"Jonathan Lucroy","C","32","1","3350000","2018","390","153","34","172","122","6","355","1"
"Rod Barajas","C","34","1","3250000","2010","315","126","47","167","50","1","259","0"
"Bill Hall","3B","30","1","3250000","2010","348","126","41","137","98","16","243","0"
"Wilson Betemit","SS","29","2","3250000","2011","200","78","21","92","72","4","183","0"
"Cameron Maybin","OF","30","1","3250000","2017","343","193","24","137","132","71","335","0"
"Brock Holt","3B","31","1","3250000","2019","257","99","10","84","84","10","194","0"
"Geovany Soto","C","30","1","3050000","2013","271","111","37","115","95","2","200","0"
"Brad Hawpe","1B","30","1","3000000","2010","385","182","57","215","197","5","354","1"
"Ramon Hernandez","C","33","1","3000000","2010","311","104","27","150","94","1","286","0"
"Jim Thome","1B","39","1","3000000","2010","381","196","82","226","220","1","291","0"
"Greg Dobbs","1B","32","2","3000000","2011","311","66","18","84","45","2","183","0"
"Ryan Doumit","OF","29","1","3000000","2011","274","90","31","113","77","5","238","0"
"Casey Kotchman","1B","27","1","3000000","2011","382","118","26","147","122","3","346","0"
"John McDonald","3B","36","2","3000000","2011","208","66","12","58","19","4","129","0"
"Nick Punto","2B","33","3","3000000","2011","267","101","3","78","114","23","179","0"
"Cody Ross","OF","30","1","3000000","2011","420","198","52","207","120","19","389","0"
"Eric Chavez","3B","34","1","3000000","2012","199","62","19","73","52","0","146","0"
"Kelly Johnson","2B","30","1","3000000","2013","405","177","53","165","157","37","321","0"
"Nick Punto","2B","35","1","3000000","2013","250","75","4","51","83","10","147","0"
"Alberto Callaspo","2B","30","1","3000000","2014","397","144","24","150","149","4","322","0"
"Stephen Drew","SS","32","1","3000000","2015","333","118","37","137","118","7","233","0"
"David Freese","1B","32","1","3000000","2015","392","159","33","171","116","3","350","0"
"A.J. Pierzynski","C","39","1","3000000","2015","347","111","31","156","44","1","344","0"
"Andres Blanco","3B","32","1","3000000","2016","210","62","12","49","34","3","129","0"
"Chris Carter","1B","30","1","3000000","2016","430","202","102","246","189","9","315","0"
"Matt Adams","1B","30","1","3000000","2018","365","125","57","176","75","0","240","0"
"Adam Jones","OF","33","1","3000000","2018","442","222","70","219","90","11","497","0"
"Jung Ho Kang","3B","31","1","3000000","2018","103","45","21","62","36","3","83","0"
"Chris Owings","SS","27","1","3000000","2018","320","127","21","122","61","44","276","0"
"Maikel Franco","3B","27","1","3000000","2019","408","162","63","200","106","1","340","0"
"Jose Iglesias","SS","30","1","3000000","2019","399","161","22","161","60","28","379","0"
"Mitch Moreland","1B","34","1","3000000","2019","363","178","56","205","141","3","299","1"
"Hunter Pence","OF","36","1","3000000","2019","313","127","35","150","77","13","266","1"
"Jose Peraza","2B","25","1","3000000","2019","436","172","25","128","66","53","398","0"
"Stephen Vogt","C","35","1","3000000","2019","196","55","22","80","41","3","132","0"
"Carlos Pena","1B","33","1","2900000","2012","444","208","75","225","275","9","304","0"
"Geovany Soto","C","33","1","2800000","2015","145","48","19","54","47","1","101","0"
"Rene Rivera","C","34","1","2800000","2017","232","51","21","87","41","0","149","0"
"Raul Ibanez","OF","39","1","2750000","2012","427","190","55","229","136","9","377","0"
"Placido Polanco","3B","36","1","2750000","2012","343","150","13","121","92","8","373","1"
